B1,B2,B3
1,1,pratApamArtaNDa
2,1,kauSThya
3,1,nicayagulma
4,1,ADhyaka
5,2,prazastaparibhASA
6,3,dIrghajIvantI
7,4,madanazikhipIDA
8,5,paribhASAGkasUtra
9,5,pratisvam
10,5,akalyANa
11,5,garbhalambhana
12,5,jAlaMdhara
13,6,nivAraNa
14,7,vasati
15,7,javAdhika
16,7,zItakumbhI
17,7,rathakRtsna
18,7,bakapuSpa
19,7,setra
20,8,yadupuMgava
21,8,subhaTavarman
22,8,vizvapAtR
23,9,zazva
24,9,vaitAla
25,9,saMhatatala
26,10,lakSmInRsiMhasahasranAman
27,10,candrabimbaprabhA
28,10,nizreNI
29,10,nAmakaraNaprayoga
30,10,gandhakASTha
31,10,kRSNacUDA
32,11,sajoSa
33,11,kumbhya
34,12,samupAsthita
35,12,puMnAman
36,12,rAmavizvarUpastotra
37,13,bhAratakarNa
38,13,zizucAndrAyaNa
39,14,zatadvasu
40,14,ambAjanman
41,14,bahukSIrA
42,14,purohitakarman
43,14,reriha
44,14,AJjIkUlaka
45,15,mizrIbhAva
46,15,kukkuTezvaratantra
47,15,pracaNDabhairava
48,15,saMgItasArasaMgraha
49,16,janAdhinAtha
50,16,duSprativIkSya
51,17,parimitecchatA
52,17,yavAsA
53,17,zIkara
54,18,vartani
55,18,upadezAmRta
56,19,saMjaya
57,19,gotroccAra
58,19,saptaziva
59,19,zastranidhana
60,19,pyAyita
61,19,veSaNa
62,20,svaravat
63,20,kulIpaya
64,20,madhyamika
65,21,saubharAja
66,21,haMsadAhana
67,21,sahasyacandra
68,21,dvArapakSaka
69,21,pratihitA
70,21,radda
71,22,cATukazata
72,22,saMvedyatA
73,22,ravidharman
74,22,madhubhakSaNa
75,23,atidantura
76,23,lohazRGkhala
77,23,ayava
78,23,pravedya
79,24,parirakSya
80,24,cAkSuSa
81,24,vyavahAramahodaya
82,24,etattRtIya
83,25,zIt
84,25,himopacAra
85,25,aSTAcatvAriMzaka
86,25,retas
87,25,durApUra
88,26,rekhAkAra
89,26,lApin
90,26,vedakartR
91,26,turIyavarNa
92,26,vinAyakapUjAvidhi
93,26,srotasa
94,27,putradharmatas
95,27,yuddhagAndharva
96,27,puroDAzavatsA
97,27,mahAgandhahastin
98,27,tAvara
99,27,dArustrI
100,28,yajJavardhana
101,28,rahasyam
102,29,AhutibhAga
103,30,nyUnAdhikavibhakta
104,30,adhaHkumba
105,30,visargalupta
106,30,kuraNDa
107,31,phalapuSpopazobhita
108,31,pramANapallava
109,31,liGgopahitalaiGgikabhAnanirAsarahasya
110,31,paNyakambala
111,31,pAkazAstra
112,32,kiJjala
113,32,devacaryopazobhita
114,32,ghanoparuddha
115,32,prakramatRtIya
116,32,paramparabhojana
117,33,vitanu
118,33,vAstuzAnti
119,33,pRthavAna
120,33,sAvegam
121,33,tailazAlikA
122,33,yajJAMzabhuj
123,34,mAnuSadaivika
124,34,karaNavinyaya
125,34,praru
126,35,anuvAdinI
127,36,balavarmadeva
128,36,akusIda
129,36,balAtkAram
130,36,arthopArjana
131,37,vizvagazva
132,37,prANabhaya
133,37,prativRtti
134,38,kausurubinda
135,38,adhigamya
136,38,saudhavAsa
137,38,andhaMkaraNa
138,38,purumI|a
139,39,kadalIgarbhA
140,39,AgnAvaiSNava
141,39,svacchandoddyota
142,40,valmIkajanman
143,40,utsada
144,40,nirgamana
145,41,vArttikasAravyAkhyA
146,41,bandhUkapuSparajas
147,42,irikAvana
148,43,nirvyAjIkRta
149,43,yogasUtracandrikA
150,43,bhImaputrikA
151,43,dhanasthAna
152,43,pailava
153,44,dArDhya
154,45,dahana
155,45,dhanyatithi
156,45,praga
157,45,vyAjanidrita
158,45,divyajJAna
159,46,kadIzitR
160,46,bANabhaTTa
161,46,kaustra
162,46,ardhasamasyA
163,47,ehimAya
164,47,satpramuditA
165,47,zailamRga
166,47,vizvapUjita
167,48,halipriyA
168,48,mRgAGkadattIya
169,49,ujjha
170,49,sampAdana
171,50,pitRprApta
172,50,samprItamAnasa
173,51,zvAsatA
174,52,vahnigRha
175,52,apannagRha
