B1,B2,B3
1,1,supAraNa
2,2,kujjhaTi
3,2,jAlmaka
4,3,anyAsAdhAraNa
5,3,gandhApakarSaNa
6,3,upavalh
7,3,jigISotsAhavat
8,3,dharmika
9,3,pauNDranAgara
10,4,dazayojanI
11,4,samAnodarka
12,5,pRN
13,5,suzobhamAna
14,5,AgaskArin
15,6,viraktiratnAvali
16,6,durAruha
17,6,nAgalokapati
18,6,kirITabhRt
19,6,daNDapradAna
20,6,goNAzman
21,7,vizvezvarasarasvatI
22,8,dhAnyada
23,8,kSudrazarkarikA
24,9,mukhAvarI
25,9,doSA
26,9,kaikeyI
27,9,prabhAnIya
28,10,dUtasampreSaNa
29,10,buddhihIna
30,10,muthazilita
31,10,buddharakSitA
32,10,kaulmASINa
33,10,vRSalIsevana
34,11,vyapekSita
35,12,bAlapuSpikA
36,12,zUrAcArya
37,12,saMkocita
38,12,pauMzcalIya
39,12,vikramabAhu
40,13,vyAkaraNadIpikA
41,13,jAtakadarpaNa
42,13,kalAnyAsa
43,14,gItagovinda
44,14,Agranth
45,15,vimardaka
46,15,svaprayojanavaza
47,16,nAkinAtha
48,16,rakSi
49,16,prAditya
50,16,rUpagraha
51,16,ardhAvabheda
52,17,udagapavargam
53,17,visarpikA
54,17,payAya
55,17,utsAraNIya
56,17,apratiSkRta
57,18,caritapUrva
58,18,ayudha
59,18,aruNAgraja
60,19,adhyadhvam
61,19,zirISiNI
62,20,stotrIyA
63,21,dazapadmavat
64,21,AjikRt
65,22,krathana
66,22,vinAyakazAntisaMgraha
67,22,antaga
68,22,bhAnu
69,23,udyatAstra
70,23,kuThArikA
71,23,pAThyaratnakoza
72,23,ajadaNDI
73,23,dazamIstha
74,23,vAyumArga
75,24,kAvyAmRta
76,24,zilAndhas
77,24,ASTakIya
78,24,dantapattra
79,25,anAnudiSTa
80,25,paridhApanIya
81,25,yogadIpikA
82,25,gavAdana
83,26,nailakaNThIya
84,26,duHkhAnta
85,26,khaDgapidhAnaka
86,26,kAyakAraNakartRtva
87,27,sadhamAd
88,27,DahAla
89,27,purAkalpa
90,27,pratiyA
91,27,snehapIta
92,27,acAkrika
93,28,titikSA
94,28,nItikuzala
95,28,siddhIkRta
96,29,niTTala
97,29,visphAy
98,29,AbaddhamaNDala
99,29,stR
100,29,chattrapa
101,29,bhuvanezIpArijAta
102,30,klama
103,30,durvida
104,30,zUrpazruti
105,30,AlI
106,30,dhanarUpa
107,31,dakSiNAdvAra
108,31,unnatIza
109,31,ucchrita
110,31,pazcimAzApati
111,31,zAlInatva
112,32,bhayApaha
113,32,parAGmukhabhUta
114,32,gadya
115,32,astimat
116,32,vrIDAvat
117,33,jalArthin
118,33,nirmuktakalmaSa
119,33,anudairghya
120,33,paTavAsatA
121,34,dRDhadaMzaka
122,34,dravyaka
123,34,atigrAha
124,35,lAGgUlikI
125,35,anApAna
126,35,mukticintAmaNi
127,35,parijJA
128,36,amloTa
129,37,pipatiSA
130,37,nikaSagrAvan
131,37,yantramoha
132,38,subrahmaNyA
133,38,chandoruTstoma
134,38,karNikAra
135,39,bahusuta
136,39,traikakuda
137,39,bodhisattvasamuccayA
138,39,kimpaca
139,40,kacchapI
140,40,viSasecana
141,40,pratirodha
142,41,asvatA
143,42,veDA
