B1,B2,B3
1,1,bhavAbdhinAvinavika
2,1,kaimAyani
3,2,klIba
4,3,manorathabandhabandhu
5,3,parNatva
6,3,jIvikAkR
7,4,panyas
8,4,kulAyastha
9,4,gArtsamada
10,4,saMvargam
11,5,dhamadhama
12,5,girikadambaka
13,5,mandana
14,5,puNyavarman
15,5,karavartam
16,6,nirmAya
17,6,prAgdizIya
18,6,vedamAtRkA
19,6,gandhanizA
20,6,prathamacchad
21,7,SaTpAramitAparipUrNa
22,8,sumanomaya
23,8,zAmanI
24,8,AzApura
25,8,mich
26,8,avicintya
27,8,nyRSTa
28,9,antaHpAta
29,9,abhihita
30,9,bhogabhRtaka
31,10,uSaNA
32,11,raGgapITha
33,12,kroJc
34,12,saujAmi
35,12,dIv
36,13,helA
37,13,praznasaMgraha
38,13,aniGgana
39,14,devagarbhA
40,14,sadyaHphala
41,15,sampraNardita
42,16,gArgyAyaNaka
43,16,rahaskAmatA
44,16,tiryaGmAnI
45,16,puNyatIrtha
46,17,audgAtra
47,18,dyusarit
48,18,suviSTambhin
49,18,uddharAvasRjA
50,18,vahnigarbhA
51,18,saMghadAsa
52,18,bhrAmakA
53,19,paritapti
54,19,SThyUta
55,19,zIghrabodhabhUSaNa
56,19,zaubhAyani
57,20,ketucakra
58,20,samAnarUpa
59,21,antarAbhakta
60,21,Aralu
61,21,prAgjanmaka
62,22,kadartha
63,22,jAtIrasa
64,22,gRhapraveza
65,23,picu
66,23,brahmastamba
67,23,lavaNApaNa
68,23,vikRttikA
69,23,pravilabh
70,23,zacIbala
71,24,ADvAlana
72,24,dAnaprakaraNa
73,24,lipika
74,24,kaivalyendra
75,24,sAraguNa
76,25,pratyagdRz
77,25,sudarzanI
78,26,kezavAvAsa
79,26,vizuddhAtman
80,26,niSpalAva
81,26,megharAji
82,27,vajrakIla
83,27,latAkara
84,27,putrabhANDa
85,27,raharUDhabhAva
86,27,salloka
87,27,guNAntara
88,28,goSpadatRtIyAvrata
89,28,kSudravAstukI
90,28,pariSic
91,28,Sag
92,28,sunAtha
93,29,zabdasaukarya
94,29,rAjaRSi
95,29,agrasara
96,29,anuSThApaka
97,29,samAlambana
98,29,varSavardhana
99,30,paNyavikrayin
100,30,samAnaprayojana
101,30,hradI
102,30,pratyenasya
103,30,prabAbadhAna
104,31,pravRttacakratA
105,31,harivaMzapaNDita
106,32,vihan
107,32,vikrozana
108,33,raGganAthanATaka
109,33,yathArSam
110,33,tIkSNapattra
111,33,parAkpuSpI
112,34,anadhas
113,34,jAraNA
114,35,aSTASaSTi
115,35,sarvadevAtman
116,35,rathakAraka
117,35,rAjasAt
118,35,dIpapUjA
119,36,zAstrajJatA
120,36,dIpanIya
121,37,mAlyapuSpikA
122,37,anaibhRtya
123,37,tAmbUlAdhikAra
