B1,B2,B3
1,1,dhurv
2,1,kramamAlA
3,1,arkabAndhava
4,1,mantrivat
5,1,ekadaNDisaMnyAsavidhi
6,1,sAralaharI
7,1,paramarSi
8,1,gRholikA
9,1,haThadIpikA
10,1,kezakUTa
11,2,komya
12,2,zrIbhuja
13,2,vratasaMgraha
14,2,pAdatra
15,2,vRddhakarman
16,3,bubhUSA
17,3,upapAdya
18,3,kIrtirAta
19,3,karamardaka
20,3,pratipAdyatva
21,3,pramANatas
22,4,bhaktidUtI
23,4,viSayAbhimukhIkRti
24,4,sAtvat
25,4,tuSTi
26,4,ahijambhana
27,4,jalayantra
28,4,dardrUNa
29,4,pAtANDinIya
30,4,Asaptama
31,5,saMvalgita
32,5,prAcyA
33,5,jAtiMdhara
34,5,bhaveNu
35,5,apakRSTatva
36,5,susambhrama
37,5,paryanuyojyopekSaNa
38,6,bAlopacaraNiya
39,6,kayA
40,6,vitastAtva
41,6,viheTh
42,6,naranAthamArga
43,6,suzravas
44,6,devendrasamaya
45,6,bind
46,6,maddhaka
47,6,prathitayazas
48,7,sIkS
49,7,nikRtyA
50,7,kRSNatrivRtA
51,7,guhAvAsitIrtha
52,8,vRddhajAtaka
53,8,mahAvada
54,8,unmakara
55,8,atidAtR
56,9,hemAhvA
57,9,neyArthakatA
58,9,khyApana
59,9,razmimaya
60,9,sUtikASaSThIpUjA
61,9,velAna
62,9,AspAtra
63,9,abhyagni
64,9,mahelApAda
65,10,nikSepaNa
66,10,adhaHstha
67,10,bhAvasamAhita
68,11,pUrvaiSukAmazama
69,11,vanamudga
70,11,piNDarohiNika
71,11,zAkabhakSatA
72,11,guNotkarSa
73,11,vAkchala
74,11,asubhaGga
75,11,Avutta
76,11,taitikSya
77,12,hastirohaNaka
78,12,vAsarAdhIza
79,12,abhinirNud
80,13,zAntatva
81,13,viplAvaka
82,13,saMzoSita
83,13,vRSanAdin
84,13,Atodin
85,14,mAlIya
86,14,doSakRt
87,14,nimittArtha
88,14,kanyAsaMpradAna
89,14,jayavaha
90,14,guJjikA
91,14,apariNayana
92,14,pUtizapharI
93,15,kaSTArtha
94,15,atimati
95,15,saMkhAdaka
96,15,nirRtha
97,15,RtajAtasatya
98,15,pAradakalpa
99,15,svAhAvallabha
100,15,vyutpattivAdakroDapattra
101,15,parikliza
102,15,narapativijaya
103,16,sumanomukha
104,16,abhinavacandrArghavidhi
105,16,vRddhagarbhA
106,17,balivRSahan
107,17,anumud
108,17,badaraphallI
109,17,AdhavanIya
110,17,vibhram
111,17,kolAhala
112,17,anvi
113,17,vizvedevR
114,17,purAdhipa
115,17,hInaroman
116,18,smRtinibandha
117,18,sujIrNazatakhaNDamaya
118,19,prayAgarAjASTaka
119,19,alUkSa
120,20,saTaMkAra
121,20,dharmArtham
122,20,pUrNabhadra
123,20,divyapaJcAmRta
124,20,sItAsvayaMvara
125,20,puraMjananATaka
126,21,mohita
127,21,samRddhavega
128,21,sphAla
129,21,timiravana
130,21,bhRtirUpa
131,21,bilvamaGgala
132,21,pratibhAsa
133,21,pArdAyanI
134,21,krakacacchada
135,21,yajJavaha
136,21,mlev
137,22,rahasya
138,22,khADAyana
139,22,kSeDa
140,22,prertvan
141,22,prapharvI
142,23,virUpAkSapaJcAkSarI
143,23,dAruharidrA
144,23,zastrAvapAta
145,24,sukhura
146,24,zaGkhadhvani
147,24,poviya
148,24,niSTya
149,25,dArasambandha
150,26,cArucaryAzataka
151,26,uddiSTa
152,26,zAratalpika
153,26,svarNagairika
154,26,nAmamudrA
155,26,apathadAyin
156,26,suyama
157,26,kSatradharma
158,27,arikta
159,27,anuvatsarIya
160,27,vikaTam
161,27,sarvadevapUjanaprayoga
162,27,pratyaMzu
163,27,gUDhamantra
164,27,maGkura
165,27,vyAroSa
166,27,zvagaNika
167,27,suvarNabhU
168,27,zilAyUpa
169,28,sattvAvajaya
170,28,sItArAmatattvaprakAza
171,28,azvavRndin
172,28,ghanavIthi
173,28,tripuTiphala
174,29,dhvaj
175,29,madanA
176,29,zatruparAjaya
